fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231101 183759	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	291	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.13694120913744	0.511200065682206	759	20645	13285	149803900.549725	1
20231101 184154	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.10871455284534	0.383395616570779	371	38535	14926	135307985.007496	2
20231101 184600	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.153177819112316	0.276715104630857	621	15235	12580	146378640.67966	3
20231101 184941	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	174	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.271073784258333	0.78185350669577	116	34014	14003	146853342.828586	4
20231101 185959	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	535	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.238883439445053	0.644795008537039	542	2127	11745	135345139.930035	5
20231101 190305	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	242	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0900664854224306	0.0754280283300613	412	23029	14230	141041534.232884	6
20231101 190610	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.186720657731057	0.696503204608016	661	16723	13713	132217815.592204	7
20231101 190921	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0429818473849446	0.840359180488013	150	42638	12145	139838433.283358	8
20231101 191358	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.166457323828363	0.380679800144862	905	3322	15223	127293292.853573	9
20231101 191751	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279571	0.0768787990038982	0.575646079617873	831	46409	14182	142773476.261869	10
