fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231101 122902	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.13694120913744	0.511200065682206	759	20645	11730	142053438.28086	1
20231101 124017	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1008	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.10871455284534	0.383395616570779	371	38535	15502	143180812.593703	2
20231101 124429	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.153177819112316	0.276715104630857	621	15235	11627	137935937.531234	3
20231101 124932	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.271073784258333	0.78185350669577	116	34014	13574	144191275.362319	4
20231101 125939	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	542	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.238883439445053	0.644795008537039	542	2127	11473	136626031.484258	5
20231101 130304	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	320	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0900664854224306	0.0754280283300613	412	23029	10530	139747391.304348	6
20231101 130721	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.186720657731057	0.696503204608016	661	16723	13244	145963524.237881	7
20231101 131028	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0429818473849446	0.840359180488013	150	42638	14663	139236181.409295	8
20231101 131627	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.166457323828363	0.380679800144862	905	3322	11634	131977832.083958	9
20231101 132013	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	50	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0768787990038982	0.575646079617873	831	46409	13067	140872229.385307	10
20231101 132527	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.199060535248718	0.482284466433484	268	29593	14996	143935966.016991	11
20231101 132715	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	97	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.218087663662154	0.0349420346751867	500	8456	14909	130719178.910545	12
20231101 133035	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.247791156655876	0.936292199923046	887	48584	13779	143580323.338331	13
20231101 133505	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0278307219524868	0.240808322774392	56	34450	16231	139188157.421289	14
20231101 133920	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	309	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0708034699544078	0.142060961340176	995	27067	13071	141831295.852074	15
20231101 135410	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1419	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.291614252373693	0.946646284638409	253	10265	12900	129917551.224388	16
20231101 135835	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	225	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.19359467815042	0.717985736300337	611	34490	13453	146250629.185407	17
20231101 140535	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	384	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.191415057212433	0.743231418256374	734	25026	12180	146060719.64018	18
20231101 141101	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	234	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.175868766875827	0.688698223734127	99	25873	12542	142318983.508246	19
20231101 141514	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.225332669395644	0.699572279020808	1023	32834	13613	144145381.809095	20
20231101 141930	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	285	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.245715302793785	0.645407178420199	404	43068	12551	145896543.228386	21
20231101 142320	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	207	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.217154682815786	0.784977877743551	458	39528	13177	146313583.708146	22
20231101 142635	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.265348646385581	0.384725144060942	521	39546	13853	137960054.472764	23
20231101 142901	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.247301208046521	0.766985538568805	245	49987	13830	131133368.315842	24
20231101 143306	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	215	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.141387946739427	0.659900378825519	390	35558	14807	147305022.988506	25
20231101 143622	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	105	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.267637071137063	0.719856998889964	428	30839	12584	146052729.635182	26
20231101 143859	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.20074138964805	0.912659983469456	811	36482	15374	141032774.612694	27
20231101 144442	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0608625661185058	0.654166458801166	439	39794	12905	148127748.625687	28
20231101 144922	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0202736410725546	0.68507779903574	575	25931	13275	143610072.463768	29
20231101 145449	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	475	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.166691600786703	0.64799356551226	415	38951	13768	143945719.14043	30
20231101 150515	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1101	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0647135141709985	0.656319390246987	483	35313	12950	149805072.463768	31
20231101 151144	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	380	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0823544828325369	0.680202051284652	441	32707	12966	145136670.664668	32
20231101 151703	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0321345686553661	0.610444019543854	506	36410	12248	140986478.76062	33
20231101 152232	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0206143070306859	0.660001332397075	715	35780	13844	144126662.668666	34
20231101 152543	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	53	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0671259563835585	0.655608455735897	292	35293	13600	142453673.163418	35
20231101 152900	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0498650321345538	0.661961410950606	486	40221	14122	143137084.457771	36
20231101 153252	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.066821517360398	0.583472368868987	458	36267	14100	141610104.947526	37
20231101 153808	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	391	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0698732588702319	0.652181044005066	457	36367	14901	148890241.37931	38
20231101 154123	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	37	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0622006479071554	0.658262611906525	445	33940	12346	141675711.144428	39
20231101 154825	156	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	304	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279551	0.0819756760923147	0.974616244780253	517	20341	14185	149936204.397801	40
