fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231030 120719	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	212	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.13694120913744	0.511200065682206	759	20645	13436	147771868.065967	1
20231030 121051	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.10871455284534	0.383395616570779	371	38535	12708	144537693.153423	2
20231030 121419	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	36	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.153177819112316	0.276715104630857	621	15235	13255	146872611.194403	3
20231030 121726	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.271073784258333	0.78185350669577	116	34014	12112	147392111.944028	4
20231030 122616	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.238883439445053	0.644795008537039	542	2127	14490	128407601.1994	5
20231030 122920	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	183	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.0900664854224306	0.0754280283300613	412	23029	15028	139167738.130935	6
20231030 123338	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	163	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.186720657731057	0.696503204608016	661	16723	12471	143794794.102949	7
20231030 124053	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	710	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.0429818473849446	0.840359180488013	150	42638	12828	150191846.076962	8
20231030 124547	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.166457323828363	0.380679800144862	905	3322	15580	139820679.66017	9
20231030 124915	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	50	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.0768787990038982	0.575646079617873	831	46409	12292	142901407.296352	10
20231030 125236	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.199060535248718	0.482284466433484	268	29593	12223	139067985.507246	11
20231030 125433	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	173	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.218087663662154	0.0349420346751867	500	8456	12663	137364197.401299	12
20231030 125738	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.247791156655876	0.936292199923046	887	48584	11755	145729312.843578	13
20231030 130212	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	236	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.0278307219524868	0.240808322774392	56	34450	13936	145459594.202899	14
20231030 130518	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	148	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.0708034699544078	0.142060961340176	995	27067	14320	141059970.014993	15
20231030 130840	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.291614252373693	0.946646284638409	253	10265	13746	137839109.445277	16
20231030 131209	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.0274424228751898	0.999418741550117	99	41249	14542	142170237.881059	17
20231030 131430	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.218617603212981	0.797710168257715	293	42292	11565	142716304.347826	18
20231030 131752	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.149562896520673	0.584317377202689	366	32844	12492	139837639.18041	19
20231030 132103	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.217566146007236	0.14460818820563	259	3440	12203	134565386.806597	20
20231030 132518	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.0479094643257908	0.397437107408068	136	42502	13353	143884342.328836	21
20231030 132807	154	2714406	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279541	0.0527844182762338	0.832225039347625	210	43476	12071	143093884.557721	22
