Feature	Gain	Cover	Frequency
ctrx_quarter	0.03740451664235	0.00365954243067045	0.0013849484342015
cdescubierto_preacordado	0.0288462636013865	0.0058054302134897	0.00258165145016203
Visa_status	0.0265225892600105	0.0044645443372516	0.00215137620846835
ctarjeta_visa_slope_6	0.0262147619956932	0.00118037962927887	0.000416829140390744
Visa_status_slope_6	0.0217826265016793	0.00424624618705991	0.00211103790455957
mcaja_ahorro	0.0215438224142086	0.00332024974358328	0.00134461013029272
lag_1_mcaja_ahorro	0.0209733675809165	0.00269581189158219	0.00199002299283323
avg_6_mcaja_ahorro	0.0190386082809254	0.00209443592820693	0.00130427182638394
mautoservicio	0.0164533648117785	0.0012361503170594	0.000779873875569779
active_quarter	0.0163609503276177	0.0017317114653512	0.00121014911726345
avg_6_mpasivos_margen	0.0145930345043375	0.00142330770617046	0.00146562504201907
ctarjeta_visa	0.014359278397794	0.000698946548890854	0.000309260329967326
avg_6_ctrx_quarter	0.0142593019821049	0.00244377133284607	0.00130427182638394
lag_1_mcuentas_saldo	0.0136034549922146	0.00181411825818481	0.00176143927068347
mpayroll	0.0135746023947987	0.00687297734112996	0.00204380739804494
avg_6_cpayroll_trx	0.0129303601976182	0.00288076917473937	0.000752981672963924
mprestamos_personales	0.0128247111944636	0.00983834778211643	0.00264888195667666
mcuenta_corriente	0.01241693631933	0.00506521327663276	0.00324051041400546
mcuentas_saldo	0.011390076358169	0.00876758503462428	0.00305226499576448
lag_1_mcuenta_corriente	0.0109407096415448	0.00321137949197958	0.00324051041400546
ctarjeta_master_slope_6	0.0105485977958204	0.000663775106232697	0.000309260329967326
Visa_msaldopesos	0.0101284711540049	0.00407554371670838	0.00430275241693671
Visa_Finiciomora	0.0100927560621381	0.00545677496995976	0.00125048742117223
mpasivos_margen	0.0094210989986853	0.00224701030946664	0.00130427182638394
Visa_mpagospesos	0.00930947531796306	0.00253971923699993	0.00435653682214842
lag_1_Visa_mpagospesos	0.00895044469945812	0.00156394630109157	0.0027161124631913
delta_1_cdescubierto_preacordado	0.00883129965204848	0.00609571488035126	0.0010891342055371
avg_6_ctarjeta_debito_transacciones	0.00862911068778288	0.00160816852251615	0.000954673192507832
ctrx_quarter_slope_6	0.00860618249271333	0.00393386807170544	0.0041010608973928
Master_status	0.00856436334907357	0.00333596499000379	0.00186900808110688
Master_status_slope_6	0.00849342305672964	0.00224440700537331	0.0011832569146576
Visa_madelantopesos	0.00838499474016927	0.000686294537892658	0.00125048742117223
Visa_cadelantosefectivo	0.00833890657972805	0.000675717340683127	0.0010353498003254
Visa_mconsumototal	0.00800521071096002	0.00277570017426747	0.00373801616221377
avg_6_mcuentas_saldo	0.00754466206908599	0.00125048008597935	0.00119670301596052
delta_1_cproductos	0.00745783233364194	0.00269464608315647	0.000833658280781487
