fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230905 110017	-0.284313363989349	3345	745	17	10	5	67832800	1
20230905 110707	-0.452143641882867	6974	890	20	10	5	51667700	2
20230905 111115	-0.145418120472459	2952	1306	4	10	5	60902100	3
20230905 111546	-0.661265737036592	7174	1534	5	10	5	51807000	4
20230905 112227	-0.602451440013829	1918	455	9	10	5	71132600	5
20230905 112852	-0.839975238118495	7793	2067	16	10	5	52619700	6
20230905 113805	-0.195037468754163	6321	98	14	10	5	52675000	7
20230905 114457	-0.357370477376713	5633	951	19	10	5	55952400	8
20230905 115106	-0.490437677168908	6751	1351	18	10	5	52652600	9
20230905 115858	-0.210762592710347	7150	154	13	10	5	51524900	10
20230905 120442	-0.865021621466925	7161	2681	11	10	5	51916200	11
20230905 120950	-0.273707636391434	6270	21	6	10	5	52113600	12
20230905 121347	0.0287623060440336	3552	1662	13	10	5	0	13
20230905 121734	-0.189083820903518	2552	909	4	10	5	60535300	14
20230905 122145	0.0936990507296287	4861	736	6	10	5	0	15
20230905 122656	-0.135148033965379	7860	1840	6	10	5	52619700	16
20230905 123943	-0.555082874375618	16	6	17	10	5	33285700	17
20230905 124319	-0.591667177889937	1802	590	3	10	5	60405800	18
20230905 124946	-0.604684060066009	3326	1656	9	10	5	64835400	19
20230905 125658	-0.670003588254582	1820	4	9	10	5	7e+07	20
20230905 130400	-0.619882752171832	3666	3	9	10	5	65155300	21
20230905 131110	-0.633742671840732	790	391	8	10	5	71419600	22
20230905 131829	-0.445972380730888	1777	885	9	10	5	66258500	23
20230905 132453	-0.759531280667063	1008	502	8	10	5	69118000	24
20230905 133150	-0.296929721043803	2550	1275	11	10	5	66238900	25
20230905 133729	-0.693482612763091	1484	731	8	10	5	68625900	26
20230905 134444	-0.879191126246576	7	3	9	10	5	64974000	27
20230905 135041	-0.263387441604164	4810	2405	17	10	5	61589500	28
20230905 135707	-0.589065883953984	180	81	8	10	5	68385800	29
20230905 140338	-0.634279336647023	1093	544	9	10	5	68724600	30
20230905 140859	-0.615938591495071	1834	158	7	10	5	72169300	31
20230905 141416	-0.817243316100094	2174	3	7	10	5	71354500	32
20230905 141834	-0.805611168254968	30	4	5	10	5	66934000	33
20230905 142353	-0.99618241906073	2302	1	7	10	5	70884800	34
20230905 142845	-0.924022963307074	2013	241	6	10	5	71723400	35
20230905 143430	-0.933750125980917	3003	3	8	10	5	68376700	36
20230905 143728	-0.999199931232088	1063	1	3	10	5	57933400	37
