Feature	Gain	Cover	Frequency
ctrx_quarter	0.165658993036725	0.0167558511622984	0.029084220480564
cliente_edad	0.0353579876634891	0.0334316488674982	0.0624149269984096
mrentabilidad_annual	0.0340266057536582	0.0295042143247284	0.0491981645723783
numero_de_cliente	0.03174934698616	0.0334189594561528	0.0573365165561016
mcuentas_saldo	0.0303388249383962	0.020195454026475	0.0255344375510438
mcaja_ahorro	0.0276345345702888	0.00782248557800069	0.0200252890691044
mprestamos_personales	0.0262333819253098	0.0136309034114156	0.00437185677646755
mpasivos_margen	0.0261703956835719	0.0141082551667049	0.0275108177037812
cliente_antiguedad	0.0248516919920569	0.0243177161078349	0.0435269296347771
mcuenta_corriente	0.0243379395333539	0.0284418131229413	0.0414144326794951
Visa_Fvencimiento	0.0240367502909881	0.0199242310862429	0.0358452853438024
Master_fechaalta	0.0237494233535066	0.0154272314518782	0.0281511039789091
Master_Fvencimiento	0.0226318001006356	0.019339039748266	0.0334453311936727
cpayroll_trx	0.022232211581113	0.00612097138441402	0.000853416531743871
Visa_fechaalta	0.0189781478968746	0.0119399347199926	0.0249899703408651
mpayroll	0.0188224883092112	0.00561026459381395	0.00166832633645208
Master_mfinanciacion_limite	0.0187882575552031	0.0151546406679845	0.0257807015030161
mrentabilidad	0.0187443647400239	0.0188557322267972	0.0293985428338086
mactivos_margen	0.0186438244139087	0.0181939149809168	0.0256983150172653
Visa_mfinanciacion_limite	0.0177400774646734	0.0143370471632834	0.0250598197526973
chomebanking_transacciones	0.0172197596800722	0.0106313955211101	0.0235159686501512
Visa_mpagominimo	0.0132665277560489	0.0102598176634374	0.011620972017251
mcaja_ahorro_dolares	0.0122077216265171	0.0123772699413535	0.0157465648417463
mcomisiones_mantenimiento	0.0121417852534097	0.0127198923308086	0.0111965025145788
cproductos	0.0118043144640796	0.02401173240189	0.0169268408006534
mtarjeta_visa_consumo	0.0113113622528568	0.00716200103374721	0.00503542618887281
Visa_mpagospesos	0.0108244725141171	0.00861237284765202	0.0147740461077759
ctarjeta_visa_transacciones	0.0107420997263663	0.00780193145770201	0.00717568380783173
cdescubierto_preacordado	0.0105212746030753	0.0241369064181208	0.00335724929434184
foto_mes	0.0103852419023945	0.0509863717012652	0.0195211195965211
Visa_mconsumospesos	0.0096797271760904	0.00770530576201436	0.0119451449285745
mcomisiones	0.00965141941686831	0.00534337534773964	0.0158146232430186
mtransferencias_recibidas	0.00950773535988597	0.00687134288187878	0.0115761967532561
Master_fultimo_cierre	0.00947018295584897	0.00788391096297214	0.0155907469230439
Visa_fultimo_cierre	0.00889700606206665	0.00627586419110634	0.0152101571790867
ccomisiones_otras	0.00863372967651219	0.00670423946793774	0.0146683764847478
Visa_msaldopesos	0.0076538237740452	0.0096566474252301	0.00571153267519665
Visa_cconsumos	0.00687815791918392	0.00443967611394955	0.00832999011362171
mttarjeta_visa_debitos_automaticos	0.0067784335984878	0.00401060760289322	0.00682106371699168
ctarjeta_debito	0.00647033345478232	0.0166526374868943	0.0108902397088533
Master_status	0.00630688326423199	0.0151306632625868	0.00122057369650251
mcuenta_debitos_automaticos	0.00600715212438116	0.00478850786078042	0.00515452839109939
mcomisiones_otras	0.00581846140011127	0.00533351719828887	0.00954698178900463
Visa_msaldototal	0.0055676191546154	0.00652983597020399	0.00629002908601149
mtransferencias_emitidas	0.00544757308763082	0.0050053268631986	0.00531751035204104
Visa_status	0.00540785857080183	0.0127844769699989	0.0011355006949121
ctransferencias_recibidas	0.00510141619282584	0.0042792195438585	0.00672793116788217
mautoservicio	0.00481280994729914	0.00455651970349478	0.00501214305159543
cmobile_app_trx	0.00423671868052063	0.00322444705535211	0.0071049388907197
ccallcenter_transacciones	0.00417571293874706	0.00790496442364721	0.00250114624675827
cprestamos_personales	0.0041110063785955	0.0133294621933078	0.00332680211482527
internet	0.00401381303106962	0.0112249629165039	0.00531034630980184
ctarjeta_debito_transacciones	0.00397832910660061	0.00275224495599784	0.0046387173498775
ctarjeta_visa_debitos_automaticos	0.00380073057789315	0.00344957109592867	0.00355784247703925
Master_mpagospesos	0.0037894222917875	0.00526233286537055	0.00393574570515668
Master_mpagominimo	0.00373117739438819	0.00438196622720275	0.00285845285343802
