Feature	Gain	Cover	Frequency
ctrx_quarter	0.170130853238716	0.0232242906701798	0.0363705291506425
cliente_edad	0.033592120660518	0.0488047003739005	0.0580914242036523
mcuentas_saldo	0.0335916468719509	0.0189953301359867	0.0288832392652535
mrentabilidad_annual	0.0331014144491516	0.0367807768329614	0.0456850230200623
numero_de_cliente	0.031011691123548	0.044823942112267	0.0556137134459196
mcaja_ahorro	0.0298064656670591	0.0110513443473838	0.0242490708584659
cpayroll_trx	0.027490778647345	0.00417818391855101	0.000684355281321101
mpasivos_margen	0.0265862966272472	0.0214667505451384	0.0331906157166621
mprestamos_personales	0.0265003227748856	0.0143122126923218	0.00425198798439522
cliente_antiguedad	0.0241564915615633	0.0317124138474215	0.0427691279455125
mcuenta_corriente	0.0238295111520393	0.041197945369623	0.0452160673326822
Visa_Fvencimiento	0.0232325892981442	0.0228474813303356	0.0349058119118437
Master_Fvencimiento	0.0227492177956611	0.0195481612782843	0.0315671182057583
Master_fechaalta	0.0225473059149369	0.0173147816843031	0.0271594270863143
mactivos_margen	0.0193932011971494	0.0226718389788398	0.0271175780223486
Visa_fechaalta	0.0192025525065949	0.0149727835878633	0.0262442865257707
chomebanking_transacciones	0.0182270727078761	0.0134972720134722	0.0252448324098845
mrentabilidad	0.0176767946660524	0.0227712418352195	0.0279933312285716
Master_mfinanciacion_limite	0.0172158626078352	0.0149619167996467	0.0232526938796359
Visa_mfinanciacion_limite	0.0166703297156446	0.0142427985991407	0.0232600790085711
mpayroll	0.0148275515250054	0.00803716505549747	0.00221738496276972
Visa_mpagominimo	0.0138275899707794	0.00809546061564296	0.0121399211145144
mtarjeta_visa_consumo	0.0127292590153436	0.00343230575897415	0.00615981295930117
Visa_mpagospesos	0.0123670915893086	0.00740701880494454	0.0151425914540519
cproductos	0.0121889793523308	0.0292406927066858	0.0195188957755216
mcomisiones_mantenimiento	0.0119875443426208	0.0104175097689049	0.0105773509173253
mcaja_ahorro_dolares	0.011393170908936	0.0135630148498727	0.0132347664791459
ctarjeta_visa_transacciones	0.0112709699034421	0.00563744018240671	0.00825103530276259
foto_mes	0.0112103715575604	0.0334369568455789	0.0185680604251249
Visa_mconsumospesos	0.0105204405667835	0.00675646740559217	0.0123682446840919
mtransferencias_recibidas	0.010192904491474	0.00804970055908954	0.0128685871694462
cdescubierto_preacordado	0.0101102689340752	0.013330336557361	0.00546868797645621
ccomisiones_otras	0.00925599802948528	0.00837606660722874	0.0152250587271607
Master_fultimo_cierre	0.00919878532545742	0.00857918160536957	0.0147087151291136
Visa_fultimo_cierre	0.00866350368324548	0.00845910314696785	0.0149234992956433
mcomisiones	0.00860896690275079	0.00713172183042001	0.0130962953116124
mcomisiones_otras	0.0077128777706568	0.00677984016126308	0.0115404948159472
Visa_msaldopesos	0.00754177254169497	0.00577484260067835	0.0064422941410695
Visa_cconsumos	0.00726775103366521	0.00364814046316828	0.00811133328040658
mttarjeta_visa_debitos_automaticos	0.00642081884246023	0.0028119084422372	0.00626505104662663
ctarjeta_debito	0.00628286752457946	0.014031442341844	0.00977975699233239
Visa_msaldototal	0.00554456707322466	0.00527363008316379	0.00643367815731186
mtransferencias_emitidas	0.00529456265773029	0.00456319688244288	0.00541637664649911
mcuenta_debitos_automaticos	0.00528799019351174	0.00366879093873464	0.00395104398028909
Visa_status	0.00523106978015002	0.00812342138352927	0.00135394030477196
mautoservicio	0.00493231328176831	0.00383861475842092	0.00515174285965732
ctransferencias_recibidas	0.00469269037006986	0.00330354151490342	0.0058994871643382
Master_status	0.00445897251687145	0.0116168698728081	0.0014117904814304
cmobile_app_trx	0.00433819750822116	0.0038150009983447	0.00677031695127107
Master_mlimitecompra	0.00404647705066918	0.00751507227868737	0.00561208256327979
Visa_mlimitecompra	0.00378826657551106	0.00803376433925994	0.00461632101186113
Master_mpagominimo	0.00377630559561542	0.00610859340363989	0.00246294049986245
ctarjeta_debito_transacciones	0.00373331611391143	0.00244013677119717	0.00428952905648208
ctarjeta_visa_debitos_automaticos	0.00364458900481469	0.00159464980999065	0.00291097165525972
internet	0.00341548321871448	0.0203354920864226	0.00695863773911663
mpagomiscuentas	0.0033637729865465	0.00258278254156165	0.00289804767962326
Master_mpagospesos	0.00335984794990434	0.00526121927315533	0.00316883574057765
cprestamos_personales	0.00320936706172519	0.0156552846181409	0.00324761044921893
ccaja_ahorro	0.00317127814857151	0.00597155201171381	0.0022376940673413
thomebanking	0.00313116547363551	0.01118422273749	0.00397627650415075
active_quarter	0.00307321424399113	0.00846291084193075	0.0101133186492353
ccallcenter_transacciones	0.00302017404527497	0.00758868554617918	0.00210353089168662
Visa_mconsumosdolares	0.0029728808997033	0.00235391323198936	0.00330299891623233
ccomisiones_mantenimiento	0.00281557866385171	0.00729265372271633	0.0022746197120169
ctarjeta_master	0.00280763462149625	0.000193042847728386	0.000259710367551713
ctransferencias_emitidas	0.00278758555632339	0.00224505407440717	0.00258787226434823
Master_mconsumospesos	0.00273941143314019	0.00215200618110966	0.00209799204498528
Master_msaldopesos	0.00273708972912257	0.00279611005771694	0.00210599260133166
tcallcenter	0.002733846706487	0.00136331631769458	0.000692355837667481
ccaja_seguridad	0.00258807830785838	0.00674840170417429	0.000401874099552769
Master_msaldototal	0.00221677957972917	0.00196710354096177	0.00197675284496707
mtarjeta_master_consumo	0.00194007333872024	0.00127392066715252	0.000893600601149495
ctarjeta_visa	0.00189354361039198	0.000677480956541426	0.000490495646774206
ccajas_transacciones	0.00182050959194726	0.00316818787420805	0.00072805062752056
mextraccion_autoservicio	0.00179516738458171	0.00266945962311771	0.00196198258709683
cpagomiscuentas	0.00176981203474507	0.00131798978527928	0.00144317727940466
