fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231108 154239	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	194	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.13694120913744	0.511200065682206	759	20645	11639	159018454.272864	1
20231108 163404	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	366	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.10871455284534	0.383395616570779	371	38535	12994	162029066.466767	2
20231108 170820	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.153177819112316	0.276715104630857	621	15235	13315	157194340.329835	3
20231108 172755	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	63	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.271073784258333	0.78185350669577	116	34014	11261	156516008.495752	4
20231108 181336	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	410	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.238883439445053	0.644795008537039	542	2127	13500	144782458.770615	5
20231108 184616	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	698	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0900664854224306	0.0754280283300613	412	23029	12776	160149589.205397	6
20231108 191205	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	134	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.186720657731057	0.696503204608016	661	16723	12113	154127080.95952	7
20231108 200941	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1008	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0429818473849446	0.840359180488013	150	42638	13778	160000696.651674	8
20231108 210000	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.166457323828363	0.380679800144862	905	3322	12724	151125123.438281	9
20231108 223808	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	934	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0768787990038982	0.575646079617873	831	46409	13542	159536114.942529	10
20231108 232432	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	259	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.199060535248718	0.482284466433484	268	29593	11459	157904121.43928	11
20231109 000053	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1152	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.218087663662154	0.0349420346751867	500	8456	13122	144647349.325337	12
20231109 002200	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.247791156655876	0.936292199923046	887	48584	11788	156185749.125437	13
20231109 022245	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2140	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0278307219524868	0.240808322774392	56	34450	11666	160361828.085957	14
20231109 031809	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1085	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.0708034699544078	0.142060961340176	995	27067	11761	159825843.578211	15
20231109 034107	1060	3475627	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	FALSE	1	0.1	50	0.5	TRUE	279511	0.291614252373693	0.946646284638409	253	10265	10891	148586768.115942	16
